"URL","HTTP status","Redirect chain","Final URL","Canonical","Robots","In sitemap","Server title","Server H1","Correct initial HTML","Potential duplicate","Recommended action","Notes"
"https://cabinetdentairesete.fr/","200","200","https://cabinetdentairesete.fr/","https://cabinetdentairesete.fr/","index,follow,max-image-preview:large","Yes","Cabinet Dentaire Dr. Abdessadok | Invisalign, implantologie et soins a Sete","Cabinet Dentaire Dr. Abdessadok : Invisalign, implantologie et soins a Sete","Yes","No","KEEP","Final 200. Canonical matches final URL. Route-specific initial HTML. Meta description: Cabinet dentaire a Sete : Invisalign, implantologie BioTech et pages d'information pour les patients du Bassin de Thau. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/about","200","200","https://cabinetdentairesete.fr/about","https://cabinetdentairesete.fr/","index,follow,max-image-preview:large","Yes","Cabinet Dentaire Dr. Abdessadok | Invisalign, implantologie et soins a Sete","Cabinet Dentaire Dr. Abdessadok : Invisalign, implantologie et soins a Sete","No","Homepage shell in initial HTML","FIX_RENDERING","Final 200. Canonical incorrectly points to the homepage. Initial HTML is the homepage shell. Meta description: Cabinet dentaire a Sete : Invisalign, implantologie BioTech et pages d'information pour les patients du Bassin de Thau. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/services","200","200","https://cabinetdentairesete.fr/services","https://cabinetdentairesete.fr/","index,follow,max-image-preview:large","Yes","Cabinet Dentaire Dr. Abdessadok | Invisalign, implantologie et soins a Sete","Cabinet Dentaire Dr. Abdessadok : Invisalign, implantologie et soins a Sete","No","Homepage shell in initial HTML","FIX_RENDERING","Final 200. Canonical incorrectly points to the homepage. Initial HTML is the homepage shell. Meta description: Cabinet dentaire a Sete : Invisalign, implantologie BioTech et pages d'information pour les patients du Bassin de Thau. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/gallery","200","200","https://cabinetdentairesete.fr/gallery","https://cabinetdentairesete.fr/","index,follow,max-image-preview:large","Yes","Cabinet Dentaire Dr. Abdessadok | Invisalign, implantologie et soins a Sete","Cabinet Dentaire Dr. Abdessadok : Invisalign, implantologie et soins a Sete","No","Homepage shell in initial HTML","FIX_RENDERING","Final 200. Canonical incorrectly points to the homepage. Initial HTML is the homepage shell. Meta description: Cabinet dentaire a Sete : Invisalign, implantologie BioTech et pages d'information pour les patients du Bassin de Thau. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/blog","308","308 -> /blog/ | 200","https://cabinetdentairesete.fr/blog/","https://cabinetdentairesete.fr/blog","index,follow,max-image-preview:large","Yes","Blog dentaire Sete : orthodontie invisible, prix et implantologie","Blog dentaire a Sete : orthodontie, orthodontie invisible et implantologie","Yes","No","FIX_REDIRECT","Final 200. Final URL has a trailing slash but canonical does not. Route-specific initial HTML. Meta description: Blog dentaire du cabinet a Sete : orthodontie, orthodontie invisible, aligneurs transparents et implantologie. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/actualities","200","200","https://cabinetdentairesete.fr/actualities","https://cabinetdentairesete.fr/","index,follow,max-image-preview:large","Yes","Cabinet Dentaire Dr. Abdessadok | Invisalign, implantologie et soins a Sete","Cabinet Dentaire Dr. Abdessadok : Invisalign, implantologie et soins a Sete","No","/blog plus homepage shell","MERGE","Final 200. Canonical incorrectly points to the homepage. Initial HTML is the homepage shell. Meta description: Cabinet dentaire a Sete : Invisalign, implantologie BioTech et pages d'information pour les patients du Bassin de Thau. Server schema: Dentist, Organization, WebSite, BreadcrumbList. Dynamic Supabase hub overlaps the static /blog hub."
"https://cabinetdentairesete.fr/contact","200","200","https://cabinetdentairesete.fr/contact","https://cabinetdentairesete.fr/","index,follow,max-image-preview:large","Yes","Cabinet Dentaire Dr. Abdessadok | Invisalign, implantologie et soins a Sete","Cabinet Dentaire Dr. Abdessadok : Invisalign, implantologie et soins a Sete","No","Homepage shell in initial HTML","FIX_RENDERING","Final 200. Canonical incorrectly points to the homepage. Initial HTML is the homepage shell. Meta description: Cabinet dentaire a Sete : Invisalign, implantologie BioTech et pages d'information pour les patients du Bassin de Thau. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/pre-rendez-vous","200","200","https://cabinetdentairesete.fr/pre-rendez-vous","https://cabinetdentairesete.fr/","index,follow,max-image-preview:large","Yes","Cabinet Dentaire Dr. Abdessadok | Invisalign, implantologie et soins a Sete","Cabinet Dentaire Dr. Abdessadok : Invisalign, implantologie et soins a Sete","No","Homepage shell in initial HTML","NOINDEX","Final 200. Canonical incorrectly points to the homepage. Initial HTML is the homepage shell. Meta description: Cabinet dentaire a Sete : Invisalign, implantologie BioTech et pages d'information pour les patients du Bassin de Thau. Server schema: Dentist, Organization, WebSite, BreadcrumbList. Conversion utility; remove from sitemap if noindexed."
"https://cabinetdentairesete.fr/invisalign","308","308 -> /invisalign/ | 200","https://cabinetdentairesete.fr/invisalign/","https://cabinetdentairesete.fr/invisalign","index,follow,max-image-preview:large","Yes","Invisalign Sete : Orthodontie invisible pour adultes et adolescents","Invisalign a Sete : le guide complet de l'orthodontie invisible","Yes","/orthodontie-invisible-sete","FIX_REDIRECT","Final 200. Final URL has a trailing slash but canonical does not. Route-specific initial HTML. Meta description: Invisalign a Sete : orthodontie invisible, scanner 3D, taquets, duree, port quotidien et suivi du traitement au cabinet du Dr Abdessadok. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/prix-orthodontie-invisible-sete","308","308 -> /prix-orthodontie-invisible-sete/ | 200","https://cabinetdentairesete.fr/prix-orthodontie-invisible-sete/","https://cabinetdentairesete.fr/prix-orthodontie-invisible-sete","index,follow,max-image-preview:large","Yes","Prix orthodontie invisible Sete : devis, cout et remboursement mutuelle","Prix, devis et remboursement de l'orthodontie invisible a Sete","Yes","/blog/prix-orthodontie-invisible-sete","FIX_REDIRECT","Final 200. Final URL has a trailing slash but canonical does not. Route-specific initial HTML. Meta description: Prix de l'orthodontie invisible a Sete : ce qui influence le devis, le cout des aligneurs, la mutuelle et les remboursements selon votre situation. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/implantologie","308","308 -> /implantologie/ | 200","https://cabinetdentairesete.fr/implantologie/","https://cabinetdentairesete.fr/implantologie","index,follow,max-image-preview:large","Yes","Implantologie BioTech Sete : implant dentaire et remplacement durable","Implantologie BioTech a Sete : une solution durable pour remplacer une dent manquante","Yes","No","FIX_REDIRECT","Final 200. Final URL has a trailing slash but canonical does not. Route-specific initial HTML. Meta description: Implantologie BioTech a Sete : remplacement de dent manquante, fabrication francaise, protocole rassurant et suivi clinique au cabinet du Dr Abdessadok. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/orthodontie-sete","308","308 -> /orthodontie-sete/ | 200","https://cabinetdentairesete.fr/orthodontie-sete/","https://cabinetdentairesete.fr/orthodontie-sete","index,follow,max-image-preview:large","Yes","Orthodontie à Sète : alignement dentaire et bilan | Dr. Abdessadok","Orthodontie à Sète : faire le point sur l’alignement de vos dents","Yes","No","FIX_REDIRECT","Final 200. Final URL has a trailing slash but canonical does not. Route-specific initial HTML. Meta description: Vous vous interrogez sur l’alignement de vos dents ? Découvrez quand consulter pour une orthodontie à Sète, quelles questions poser et comment se déroule un premier bilan. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/orthodontie-invisible-sete","308","308 -> /orthodontie-invisible-sete/ | 200","https://cabinetdentairesete.fr/orthodontie-invisible-sete/","https://cabinetdentairesete.fr/orthodontie-invisible-sete","index,follow,max-image-preview:large","Yes","Orthodontie invisible à Sète : aligneurs et bilan | Dr. Abdessadok","Orthodontie invisible à Sète : comprendre les aligneurs avant de commencer","Yes","/invisalign","FIX_REDIRECT","Final 200. Final URL has a trailing slash but canonical does not. Route-specific initial HTML. Meta description: Découvrez l’orthodontie invisible à Sète : aligneurs transparents, bilan, suivi, durée, quotidien et questions utiles avant de prendre rendez-vous. Server schema: Dentist, Organization, WebSite, BreadcrumbList."
"https://cabinetdentairesete.fr/orthodontie-invisible-meze","308","308 -> /orthodontie-invisible-meze/ | 200","https://cabinetdentairesete.fr/orthodontie-invisible-meze/","https://cabinetdentairesete.fr/orthodontie-invisible-meze","index,follow,max-image-preview:large","Yes","Orthodontie invisible Meze : aligneurs dentaires et suivi simple vers Sete","Orthodontie invisible proche de Meze : traiter son sourire sans ralentir son quotidien","Yes","Nearby-city template overlap","FIX_REDIRECT","Final 200. Final URL has a trailing slash but canonical does not. Route-specific initial HTML. Meta description: Orthodontie invisible proche de Meze : aligneurs transparents, suivis espaces, cabinet a Sete accessible pour les actifs et les familles. Server schema: Dentist, Organization, WebSite, BreadcrumbList. Requires human review for local uniqueness and doorway-page risk."
"https://cabinetdentairesete.fr/invisalign-frontignan","308","308 -> /invisalign-frontignan/ | 200","https://cabinetdentairesete.fr/invisalign-frontignan/","https://cabinetdentairesete.fr/invisalign-frontignan","index,follow,max-image-preview:large","Yes","Invisalign Frontignan : second avis et orthodontie invisible proche de Sete","Invisalign proche de Frontignan : pourquoi demander un avis plus approfondi ?","Yes","Nearby-city template overlap","FIX_REDIRECT","Final 200. Final URL has a trailing slash but canonical does not. Route-specific initial HTML. Meta description: Invisalign proche de Frontignan : second avis, approche clinique detaillee, scanner 3D et traitement discret pour adultes en recherche d'alternative. Server schema: Dentist, Organization, WebSite, BreadcrumbList. Requires human review for local uniqueness and doorway-page risk."
